id,name,origin,description,alt_names,temperament,weight.metric,weight.imperial,intelligence,child_friendly,dog_friendly,cat_friendly,stranger_friendly,energy_level,affection_level,adaptability,indoor,grooming,hypoallergenic,shedding_level,life_span,health_issues,social_needs,vocalisation,lap,natural,experimental,rare,hairless,short_legs,suppressed_tail,bidability,rex,vcahospitals_url,vetstreet_url,cfa_url,wikipedia_url,image_url,image_id,reference_image_id,country_code,country_codes
bomb,Bombay,United States,"The the golden eyes and the shiny black coa of the Bopmbay is absolutely striking. Likely to bond most with one family member, the Bombay will follow you from room to room and will almost always have something to say about what you are doing, loving attention and to be carried around, often on his caregiver's shoulder.",Small black Panther,"Affectionate, Dependent, Gentle, Intelligent, Playful",,,5,4,5,,4,3,5,5,0,1,0,3,12 - 16,3,4,5,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/bombay,http://www.vetstreet.com/cats/bombay,http://cfa.org/Breeds/BreedsAB/Bombay.aspx,https://en.wikipedia.org/wiki/Bombay_(cat),,,5iYq9NmT1,,US
bsho,British Shorthair,United Kingdom,"The British Shorthair is a very pleasant cat to have as a companion, ans is easy going and placid. The British is a fiercely loyal, loving cat and will attach herself to every one of her family members. While loving to play, she doesn't need hourly attention. If she is in the mood to play, she will find someone and bring a toy to that person. The British also plays well by herself, and thus is a good companion for single people.","Highlander, Highland Straight, Britannica","Affectionate, Easy Going, Gentle, Loyal, Patient, calm",,,3,4,5,,2,2,4,5,0,2,0,4,12 - 17,2,3,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/british-shorthair,http://www.vetstreet.com/cats/british-shorthair,http://cfa.org/Breeds/BreedsAB/BritishShorthair.aspx,https://en.wikipedia.org/wiki/British_Shorthair,,,s4wQfYoEk,,GB
esho,Exotic Shorthair,United States,"The Exotic Shorthair is a gentle friendly cat that has the same personality as the Persian. They love having fun, don’t mind the company of other cats and dogs, also love to curl up for a sleep in a safe place. Exotics love their own people, but around strangers they are cautious at first. Given time, they usually warm up to visitors.",Exotic,"Affectionate, Sweet, Loyal, Quiet, Peaceful",,,3,3,3,,2,3,5,5,0,2,0,2,12 - 15,3,4,1,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/exotic-shorthair,http://www.vetstreet.com/cats/exotic-shorthair,http://cfa.org/Breeds/BreedsCJ/Exotic.aspx,https://en.wikipedia.org/wiki/Exotic_Shorthair,,,YnPrYEmfe,,US
manx,Manx,Isle of Man,"The Manx is a placid, sweet cat that is gentle and playful. She never seems to get too upset about anything. She is a loving companion and adores being with people.","Manks, Stubbin, Rumpy","Easy Going, Intelligent, Loyal, Playful, Social",,,5,4,5,,3,5,5,5,0,1,0,5,12 - 14,3,5,3,1.0,1,0,0,0,0,1,,0,https://vcahospitals.com/know-your-pet/cat-breeds/manx,http://www.vetstreet.com/cats/manx,http://cfa.org/Breeds/BreedsKthruR/Manx.aspx,https://en.wikipedia.org/wiki/Manx_(cat),,,fhYh2PDcC,,IM
raga,Ragamuffin,United States,"The Ragamuffin is calm, even tempered and gets along well with all family members. Changes in routine generally do not upset her. She is an ideal companion for those in apartments, and with children due to her patient nature.",,"Affectionate, Friendly, Gentle, Calm",,,5,4,5,,5,3,5,5,0,3,0,3,12 - 16,3,3,1,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/ragamuffin,http://www.vetstreet.com/cats/ragamuffin,http://cfa.org/Breeds/BreedsKthruR/Ragamuffin.aspx,https://en.wikipedia.org/wiki/Ragamuffin_cat,,,SMuZx-bFM,,US
sibe,Siberian,Russia,"The Siberians dog like temperament and affection makes the ideal lap cat and will live quite happily indoors. Very agile and powerful, the Siberian cat can easily leap and reach high places, including the tops of refrigerators and even doors. ","Moscow Semi-longhair, HairSiberian Forest Cat","Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate",,,5,4,5,,3,5,5,5,0,2,1,3,12 - 15,2,4,1,1.0,1,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/siberian,http://www.vetstreet.com/cats/siberian,http://cfa.org/Breeds/BreedsSthruT/Siberian.aspx,https://en.wikipedia.org/wiki/Siberian_(cat),,,3bkZAjRh1,,RU
sing,Singapura,Singapore,"The Singapura is usually cautious when it comes to meeting new people, but loves attention from his family so much that she sometimes has the reputation of being a pest. This is a highly active, curious and affectionate cat. She may be small, but she knows she’s in charge","Drain Cat, Kucinta, Pura","Affectionate, Curious, Easy Going, Intelligent, Interactive, Lively, Loyal",,,5,4,5,,5,5,5,5,0,1,0,3,12 - 15,1,5,1,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/singapura,http://www.vetstreet.com/cats/singapura,http://cfa.org/Breeds/BreedsSthruT/Singapura.aspx,https://en.wikipedia.org/wiki/Singapura_(cat),,,Qtncp2nRe,,SP
cspa,California Spangled,United States,"Perhaps the only thing about the California spangled cat that isn’t wild-like is its personality. Known to be affectionate, gentle and sociable, this breed enjoys spending a great deal of time with its owners. They are very playful, often choosing to perch in high locations and show off their acrobatic skills.",Spangle,"Affectionate, Curious, Intelligent, Loyal, Social",,,5,4,5,,4,5,5,5,0,1,0,1,10 - 14,1,3,1,,0,0,0,0,0,0,,0,,,,https://en.wikipedia.org/wiki/California_Spangled,,,B1ERTmgph,,US
sfol,Scottish Fold,United Kingdom,"The Scottish Fold is a sweet, charming breed. She is an easy cat to live with and to care for. She is affectionate and is comfortable with all members of her family. Her tail should be handled gently. Folds are known for sleeping on their backs, and for sitting with their legs stretched out and their paws on their belly. This is called the ""Buddha Position"".",Scot Fold,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",,,3,4,5,,3,3,5,5,0,1,0,3,11 - 14,4,3,1,,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/scottish-fold,http://www.vetstreet.com/cats/scottish-fold-highland-fold,http://cfa.org/Breeds/BreedsSthruT/ScottishFold.aspx,https://en.wikipedia.org/wiki/Scottish_Fold,,,o9t0LDcsa,,GB
siam,Siamese,Thailand,"While Siamese cats are extremely fond of their people, they will follow you around and supervise your every move, being talkative and opinionated. They are a demanding and social cat, that do not like being left alone for long periods.","Siam, Thai Cat","Active, Agile, Clever, Sociable, Loving, Energetic",,,5,4,5,,5,5,5,5,0,1,1,2,12 - 15,1,5,5,1.0,0,0,0,0,0,0,,0,https://vcahospitals.com/know-your-pet/cat-breeds/siamese,http://www.vetstreet.com/cats/siamese,http://cfa.org/Breeds/BreedsSthruT/Siamese.aspx,https://en.wikipedia.org/wiki/Siamese_(cat),,,ai6Jps4sx,,TH
